Programme of Study Code,Module Code,Measure Def Code,Delivery Method,Max_Mark
D401,D401/01,RWPart01,PB,5
D401,D401/01,RWPart02,PB,5
D401,D401/01,RWPart03,PB,5
D401,D401/01,RWPart04,PB,5
D401,D401/01,RWPart05,PB,5
D401,D401/02,LPart01,PB,5
D401,D401/02,LPart02,PB,5
D401,D401/02,LPart03,PB,5
D401,D401/02,LPart04,PB,5
D401,D401/03,SI,PB,5
D401,D401/03,SP,PB,5
D401,D401/03,SV,PB,5
D402,D402/01,RWPart01,PB,5
D402,D402/01,RWPart02,PB,6
D402,D402/01,RWPart03,PB,6
D402,D402/01,RWPart04,PB,5
D402,D402/01,RWPart05,PB,7
D402,D402/01,RWPart06,PB,10
D402,D402/02,LPart01,PB,5
D402,D402/02,LPart02,PB,5
D402,D402/02,LPart03,PB,5
D402,D402/02,LPart04,PB,5
D402,D402/02,LPart05,PB,5
D402,D402/03,SI,PB,5
D402,D402/03,SP,PB,5
D402,D402/03,SVG,PB,5
D403,D403/01,RWPart01,PB,10
D403,D403/01,RWPart02,PB,5
D403,D403/01,RWPart03,PB,6
D403,D403/01,RWPart04,PB,10
D403,D403/01,RWPart05,PB,7
D403,D403/01,RWPart06,PB,5
D403,D403/01,RWPart07,PB,5
D403,D403/02,LPart01,PB,5
D403,D403/02,LPart02,PB,5
D403,D403/02,LPart03,PB,5
D403,D403/02,LPart04,PB,5
D403,D403/02,LPart05,PB,5
D403,D403/03,SI,PB,5
D403,D403/03,SP,PB,5
D403,D403/03,SVG,PB,5
D411,D411/01,RWPart01,PB,5
D411,D411/01,RWPart02,PB,5
D411,D411/01,RWPart03,PB,5
D411,D411/01,RWPart04,PB,5
D411,D411/01,RWPart05,PB,5
D411,D411/02,LPart01,PB,5
D411,D411/02,LPart02,PB,5
D411,D411/02,LPart03,PB,5
D411,D411/02,LPart04,PB,5
D411,D411/03,SI,PB,5
D411,D411/03,SP,PB,5
D411,D411/03,SV,PB,5
D412,D412/01,RWPart01,PB,5
D412,D412/01,RWPart02,PB,6
D412,D412/01,RWPart03,PB,6
D412,D412/01,RWPart04,PB,5
D412,D412/01,RWPart05,PB,7
D412,D412/01,RWPart06,PB,10
D412,D412/02,LPart01,PB,5
D412,D412/02,LPart02,PB,5
D412,D412/02,LPart03,PB,5
D412,D412/02,LPart04,PB,5
D412,D412/02,LPart05,PB,5
D412,D412/03,SI,PB,5
D412,D412/03,SP,PB,5
D412,D412/03,SVG,PB,5
D413,D413/01,RWPart01,PB,10
D413,D413/01,RWPart02,PB,5
D413,D413/01,RWPart03,PB,6
D413,D413/01,RWPart04,PB,10
D413,D413/01,RWPart05,PB,7
